rate,power
98.87,53.3735
97.92,47.1823
99.67,56.6538
99.24,55.0803
99.32,55.4359
99.61,56.5382
99.83,57.3667
99.38,55.5663
97.70,45.5611
99.83,57.3667
98.14,49.0381
99.92,57.6557
99.71,56.9043
99.30,55.3907
