rate,power
99.86,37.6156
94.27,8.2806
94.43,8.8104
99.44,36.5553
99.04,35.4818
98.87,34.9267
98.85,34.8829
99.76,37.3003
98.35,33.0231
98.55,33.8269
98.36,33.0559
99.59,36.8590
99.81,37.4894
99.46,36.5811
98.81,34.7929
98.15,32.1283
99.78,37.3255
99.80,37.4642
99.50,36.7454
99.28,36.1055
99.61,36.9976
99.52,36.7708
99.90,37.7038
98.49,33.5564
99.83,37.5400
99.45,36.5684
92.34,5.3410
93.84,7.1491
