rate,power
95.11,25.7686
95.99,38.5502
97.09,56.7803
97.19,58.2517
92.71,12.1423
96.32,44.1380
97.28,59.5267
96.58,48.5746
96.31,43.9667
96.90,53.8433
92.86,12.4175
