rate,power
96.50,42.1178
90.12,9.4340
96.82,46.8825
90.19,9.4396
97.68,57.6076
95.66,29.6851
97.78,58.5892
97.55,56.2435
97.59,56.6739
96.14,36.6327
96.07,35.5788
