rate,power
99.70,54.7005
99.68,54.4967
99.38,53.4325
99.72,54.7375
98.41,48.9500
99.62,54.3856
99.12,52.5113
98.84,51.2266
99.00,52.0270
95.57,21.5842
98.96,51.7542
99.22,52.9184
99.40,53.6381
99.70,54.7005
96.49,31.8047
98.08,46.6804
98.24,47.8336
99.51,54.0149
98.10,46.9245
98.40,48.9033
98.56,49.7490
99.33,53.3283
99.37,53.4122
97.40,41.3399
97.18,39.2821
98.62,50.1361
99.68,54.4967
96.00,26.1734
99.08,52.2476
99.49,53.8111
99.48,53.7925
99.34,53.3497
99.33,53.3283
97.85,44.8975
99.37,53.4122
99.48,53.7925
98.81,51.1272
99.47,53.7738
98.63,50.1752
98.84,51.2266
99.80,55.0526
98.44,49.0876
99.71,54.7191
98.76,50.8044
99.68,54.4967
99.92,55.4417
99.75,54.7932
98.22,47.7274
99.43,53.6974
96.91,36.5073
