rate,power
98.49,37.4948
99.68,41.4387
99.81,41.8895
99.94,42.1855
98.34,36.8616
96.70,26.0041
98.57,37.8597
98.59,37.9216
97.82,33.9805
99.61,41.3400
99.55,41.1287
99.87,42.0586
98.35,36.8988
98.42,37.2561
98.92,39.2619
99.81,41.8895
98.84,38.9522
98.77,38.6576
